1499117964829477120,0.04276,0.02034,-0.00900,0.63453,-0.76965,-0.04056,-0.05797,0.14547,-0.00203,-0.01264,
1499117964929476864,0.04995,0.05431,-0.01399,0.63178,-0.77104,-0.04347,-0.06682,0.14385,0.05810,-0.01944,
1499117965029476864,0.06310,0.06119,-0.01436,0.63083,-0.77107,-0.04411,-0.07460,0.14226,0.06135,-0.01412,
1499117965129477120,0.07448,0.06865,-0.01575,0.63008,-0.77128,-0.04129,-0.08012,0.13537,0.07146,-0.01037,
1499117965229476864,0.08829,0.07453,-0.01489,0.62995,-0.77154,-0.03602,-0.08126,0.09724,0.07910,0.02543,
1499117965329477120,0.09715,0.08004,-0.01064,0.62992,-0.77178,-0.03911,-0.07763,0.04951,0.09304,0.01853,
1499117965429476864,0.10053,0.08883,-0.00841,0.63116,-0.77130,-0.04147,-0.07085,0.02712,0.09476,-0.02265,
1499117965529476864,0.09709,0.09925,-0.00910,0.63259,-0.77034,-0.05192,-0.06098,-0.01036,0.12019,-0.00354,
1499117965629477120,0.09461,0.11147,-0.00613,0.63304,-0.76938,-0.07117,-0.04741,-0.03877,0.12515,0.01907,
1499117965729476864,0.08699,0.12321,-0.00248,0.63300,-0.76819,-0.09103,-0.03019,-0.05085,0.13599,0.01484,
1499117965829477120,0.08020,0.13825,-0.00003,0.63373,-0.76620,-0.10596,-0.01016,-0.06993,0.16097,-0.00481,
1499117965929476864,0.06958,0.15362,-0.00047,0.63471,-0.76366,-0.11787,0.00869,-0.12878,0.14065,-0.00835,
1499117966029476864,0.05469,0.16774,0.00157,0.63429,-0.76189,-0.12899,0.02372,-0.19853,0.10256,0.02459,
1499117966129477120,0.03480,0.17978,0.00188,0.63338,-0.76083,-0.13687,0.03507,-0.21189,0.12140,0.00647,
1499117966229476864,0.01741,0.19713,0.00294,0.63285,-0.75915,-0.14595,0.04350,-0.15809,0.18171,0.02023,
1499117966329477120,0.00425,0.21659,0.00642,0.63206,-0.76033,-0.14129,0.04935,-0.12085,0.18455,0.04616,
1499117966429476864,-0.00530,0.23330,0.01077,0.63068,-0.76154,-0.14222,0.04555,-0.06885,0.14254,0.03819,
1499117966529476864,-0.01133,0.24313,0.01361,0.62953,-0.76311,-0.14200,0.03447,-0.03788,0.08434,0.02063,
1499117966629477120,-0.01302,0.24881,0.01330,0.62934,-0.76475,-0.13698,0.01824,0.00928,0.07322,-0.00903,
1499117966729476864,-0.00797,0.25521,0.01141,0.62926,-0.76680,-0.12668,0.00019,0.09177,0.10921,0.00841,
1499117966829477120,0.00673,0.26691,0.01236,0.62848,-0.77085,-0.10286,-0.01466,0.17196,0.13121,0.03048,
1499117966929476864,0.02537,0.27973,0.01515,0.62761,-0.77425,-0.07697,-0.02668,0.20276,0.12446,0.02250,
1499117967029476864,0.04373,0.29004,0.01369,0.62716,-0.77556,-0.06135,-0.03752,0.16054,0.07784,-0.03270,
